year,country,artist,song,all_languages,main_language,lyrics_original,lyrics_english,bpm,tone,dancers,stage_director,place,points,running_order,top_3_words
2008,Poland,Isis Gee,For Life,English,English,"I had no choice, perfectly clear from the start I heard your voice and I was falling Into a space where daylight kisses moonlit skies It was the place as written in your eyes And oh… we made it, we finally found our way And celebrating just where we, we stand today  I'll let my heart show the way Oc...","I had no choice, perfectly clear from the start I heard your voice and I was falling Into a space where daylight kisses moonlit skies It was the place as written in your eyes And oh… we made it, we finally found our way And celebrating just where we, we stand today  I'll let my heart show the way Oc...",140,B major,,,24,14,10,"way, choice, perfectly"
2008,United Kingdom,Andy Abraham,Even If,English,English,"You're keeping me fascinated No, I ain't running all over town I feel so intoxicated I'm struggling to keep my feet on the ground  I'm not playing, girl This ain't no game at all And for the first time I'm not looking for love  So come here, baby, listen to me I just want ya to believe me  Even if t...","You're keeping me fascinated No, I ain't running all over town I feel so intoxicated I'm struggling to keep my feet on the ground  I'm not playing, girl This ain't no game at all And for the first time I'm not looking for love  So come here, baby, listen to me I just want ya to believe me  Even if t...",,,,,25,14,2,"aint, youre, keeping"
2008,North Macedonia,"Tamara, Vrčak & Adrijan",Let Me Love You,English,English,"Let's go  Let's go, let's go, let's go What ya gonna do if I let you know You're the only one I've been dreaming for I've never felt love like this before  Let's go, let's go, let's go Where the moon is full and the lights are low We can do it so slow, kiss in slo-mo Until dawn breaks, then I ride o...","Let's go  Let's go, let's go, let's go What ya gonna do if I let you know You're the only one I've been dreaming for I've never felt love like this before  Let's go, let's go, let's go Where the moon is full and the lights are low We can do it so slow, kiss in slo-mo Until dawn breaks, then I ride o...",,,,,,,,"lets, ive, gonna"
2008,Bulgaria,Deep Zone & Balthazar,"DJ, Take Me Away",English,English,"When the night falls down, I want you DJ, please, take me away And when the lights go down, I need you DJ, please, take me away  When the night falls down, I want you DJ, please, take me away And when the lights go down, I need you DJ, please, take me away  I'll take you away Take me away I'll take ...","When the night falls down, I want you DJ, please, take me away And when the lights go down, I need you DJ, please, take me away  When the night falls down, I want you DJ, please, take me away And when the lights go down, I need you DJ, please, take me away  I'll take you away Take me away I'll take ...",130,Bb major,,,,,,"take, away, please"
2008,Switzerland,Paolo Meneguzzi,Era Stupendo,Italian,Italian,"C'è una parte di me Che tacere non sa Quando guardo l'odio che c'è Il dolore, la povertà Mi rivedo bambino io Che correvo nel blu  Era stupendo volare via Sfidare il vento, la fantasia La tua mano e la mia Nella stessa poesia Era stupendo  Ma una notte vedrai Dal destino uscirò, giuro Se la vita ci ...","There's a part of me That can't be silenced When I look at the hatred there is The pain, the poverty I see myself again as a child Running in the blue  It was wonderful to fly away To challenge the wind, the imagination Your hand and mine In the same poetry It was wonderful  But one night you'll see...",144,C# major,,,,,,"see, wonderful, theres"
2008,Malta,Morena,Vodka,English,English,"(Na zdarovye!) (Hey hey hey hey hey hey) (Na zdarovye!) (Hey hey hey hey hey)  The hunt is still on Here in Gorky Park I'm in a danger zone Everywhere is pitch dark  I'm running away To a blanket of snow Spy One to Spy Four I've deciphered the code, yeah…  Vodka – that's the secret word Vodka – and ...","(Na zdarovye!) (Hey hey hey hey hey hey) (Na zdarovye!) (Hey hey hey hey hey)  The hunt is still on Here in Gorky Park I'm in a danger zone Everywhere is pitch dark  I'm running away To a blanket of snow Spy One to Spy Four I've deciphered the code, yeah…  Vodka – that's the secret word Vodka – and ...",155,F major,,,,,,"hey, zdarovye, spy"
2008,Slovenia,Rebeka Dremelj,Vrag Naj Vzame,Slovene,Slovene,"Sama na tleh, zadnja solza zate v očeh Brišem sledi ki jih pustil je poraz Ti brez besed, v trenutku si zrušil moj svet Zdaj zbiram vse sence ljubezni da vržem ti jih v obraz  Vrag naj vzame vse kar je med nama Tvoje slike mečem zdaj na tla Vrag naj vzame zdaj naprej grem sama Trgam vse spomine da s...",Not available in English,126,A minor,,,,,,
2008,Moldova,Geta Burlacu,A Century Of Love,English,English,The rain has touched my steps The rain has touched my smile I'm going to its depth It takes me to the sky  All the stars are falling down and now I can reach the rainbow Hold my hand and come with me To my other way of being  This is all I mean Be my everything And remember Our dreams together  This...,The rain has touched my steps The rain has touched my smile I'm going to its depth It takes me to the sky  All the stars are falling down and now I can reach the rainbow Hold my hand and come with me To my other way of being  This is all I mean Be my everything And remember Our dreams together  This...,140,D major,,,,,,"rain, touched, steps"
2008,Cyprus,Evdokia Kadi,Femme Fatale,Greek (Ellinika),Greek (Ellinika),"Ya su manga, im' ego yineka Ke aniko s' ena filo pu to lete asthenes Delikati, pyo lepti ke adhinami Apo kathe arseniko pu triyirna ston gafene  O kalos Theulis me lipithike Ke mu 'dhose ena oplo pu me kani dhinati Mu 'pe: ""Mi fovase esi, koritsi mu"" ""Ton andra tha ton ehis panda se ipotayi""  Bam ke...","Hello tough guy, I'm a woman And I belong to the gender that you call weak Delicate, thinner and weaker Than any male hanging around in the café  The good God felt sorry for me And gave me a weapon that makes me strong He told me: ""Don't be afraid, girl"" ""You'll always have the man under your comman...",155,C# minor,,Fotis Nikolaou,,,,"hello, tough, guy"
2008,Lithuania,Jeronimas Milius,Nomads In The Night,English,English,"Through passing days, I close my eyes and feel silk burning me Your skin, those gorgeous lips I've kissed so long ago Tonight I'll try to rip out this aching heart, it's filled with you It's filled with lonely pain – obey  Moon, I follow you in darkness It seems we're nomads in the night Your cold t...","Through passing days, I close my eyes and feel silk burning me Your skin, those gorgeous lips I've kissed so long ago Tonight I'll try to rip out this aching heart, it's filled with you It's filled with lonely pain – obey  Moon, I follow you in darkness It seems we're nomads in the night Your cold t...",145,C minor,,"Dalius Abaris, Vytautas Dambrauskas",,,,"filled, passing, days"
2008,Netherlands,Hind,Your Heart Belongs To Me,English,English,"I remember the time when I was in love with a fool He stepped on my heart, bruised me, broke the golden rule There was a time when I couldn't tell weak from strong A voice in my head kept saying: this can't go on Even though I longed, something's wrong  You know your heart belongs to me You made it ...","I remember the time when I was in love with a fool He stepped on my heart, bruised me, broke the golden rule There was a time when I couldn't tell weak from strong A voice in my head kept saying: this can't go on Even though I longed, something's wrong  You know your heart belongs to me You made it ...",94,C# major,,,,,,"time, heart, remember"
2008,Belarus,Ruslan Alehno,Hasta La Vista,English,English,"You shone on me like a blinding star I've just never seen such a light so far All my days, like fairy tales  I begged you to look in my loving eyes But you were as cold as arctic ice And your laugh has killed my love  The story is close to the final cut It won't be the end, but a running start So do...","You shone on me like a blinding star I've just never seen such a light so far All my days, like fairy tales  I begged you to look in my loving eyes But you were as cold as arctic ice And your laugh has killed my love  The story is close to the final cut It won't be the end, but a running start So do...",128,C minor,,,,,,"like, shone, blinding"
2008,Montenegro,Stefan Filipović,Zauvijek Volim Te,Montenegrin,Montenegrin,"Ponoć nad gradom kuca Ja ne znam gdje si ti Srce od ljubavi puca U praznoj postelji  Tuga mi pjesme piše Dok suze padaju Jastuk na tebe miriše A dugo, dugo nisi tu  Ne daj mi da poludim Tako je tužno sve Ponovo moja budi Zauvijek volim te  Ne daj mi da poludim Ne mogu više sam Praštaju Bog i ljudi T...","Midnight hour is struck over town I don't know where you are My heart is bursting with love In an empty bed  Sorrow is writing songs for me While tears are falling My pillow smells like you And you're long, long gone  Don't let me go crazy Everything is so sad Be mine again I love you forever  Don't...",127,A major,,Gorčin Stojanović,,,,"dont, love, long"
2008,Ireland,Dustin the Turkey,Irelande Douze Pointe,English,English,"Oh, I come from a nation What knows how to write a song Oh Europe, where oh where did it all go wrong? Come on!  Irlande douze points  Drag acts and bad acts and Terry Wogan's wig Mad acts and sad acts, it was Johnny Logan's gig  Shake your feathers and bop your beak Shake 'em to the west and to the...","Oh, I come from a nation What knows how to write a song Oh Europe, where oh where did it all go wrong? Come on!  Irlande douze points  Drag acts and bad acts and Terry Wogan's wig Mad acts and sad acts, it was Johnny Logan's gig  Shake your feathers and bop your beak Shake 'em to the west and to the...",135,D minor,,Sven Stojanović,,,,"acts, come, shake"
2008,Andorra,Gisela,Casanova,English,English,"(Oh Casanova… nova… nova…)  A thousand stars were shining their light in the night skies You and me, a magical moment in your eyes (Casanova) Lost in love, I'd waited a lifetime to find you The stars above were burning so bright to remind you (Casanova) Boom, boom, boom, my heart still goes crazy Wh...","(Oh Casanova… nova… nova…)  A thousand stars were shining their light in the night skies You and me, a magical moment in your eyes (Casanova) Lost in love, I'd waited a lifetime to find you The stars above were burning so bright to remind you (Casanova) Boom, boom, boom, my heart still goes crazy Wh...",138,F# major,,,,,,"boom, nova…, stars"
2008,Belgium,Ishtar,O Julissi,Imaginary,Imaginary,O julissi na jalini O julissi na ditini O bulo diti non slukati Sestrone dina katsu  O julissi na ti buku O julissi na katinu Dvoranu mojani bidna Marusi naja otcha tu  (Pokoli sestro moja kona) Moja kona (Pokoli meni dita boja) Dita boja (Jalina pitsu marusinja) Marusinja (Kolosali) krokodili  O ju...,Not available in English,136,G major,,,,,,
2008,Czechia,Tereza Kerndlová,Have Some Fun,English,English,"(We're gathered here today)  Sometimes we open a door to hope Then baby we're hopin' the door won't close We look all around, our future is standing there Can't you see you're my future?  We really get along Just like the sun goes with the sunshine Like a grape goes with a grapevine But you think in...","(We're gathered here today)  Sometimes we open a door to hope Then baby we're hopin' the door won't close We look all around, our future is standing there Can't you see you're my future?  We really get along Just like the sun goes with the sunshine Like a grape goes with a grapevine But you think in...",,,,,,,,"door, future, like"
2008,Estonia,Kreisiraadio,Leto Svet,"Serbian, German & Finnish",Serbian,"Ko ja sam? Račun molim Nestalo mi je plina Mi je plina  Dva dupla doboš torta Mahuna, to je dosta To je dosta  Leto svet, eto leto svet Leto svet, eto leto svet Leto svet, eto leto svet Leto svet, eto leto svet  Krompira, graška, luka Jastoga, to je dosta  Sommerlicht, das ist Sommerlicht Sommerlich...","Who am I? Bill please I ran out of gas Out of gas  Two double drum cake Bean pods, that's enough That's enough  Summer light, it's summer light Summer light, it's summer light Summer light, it's summer light Summer light, it's summer light  Potatoes, beans, onions Lobster, that's enough  Summer ligh...",132,Bb minor,,,,,,"summer, light, thats"
2008,Hungary,Csézy,Candlelight,English & Hungarian,English & Hungarian,"Weeks go by, summer scents expire Autumn leaves, memories, an untold desire It burns in me, waiting patiently Never sleeps or tires, but grows by the hour  Come and wake me from this lonely place All I want is you If you take me to the stars and back I will know my dream is true  I will fly tonight,...","Weeks go by, summer scents expire Autumn leaves, memories, an untold desire It burns in me, waiting patiently Never sleeps or tires, but grows by the hour  Come and wake me from this lonely place All I want is you If you take me to the stars and back I will know my dream is true  I will fly tonight,...",134,F# major,,,,,,"will, weeks, summer"
2008,San Marino,Miodio,Complice,Italian,Italian,"Mai avrei pensato a te come mia complice Capace di capire ogni mia gioia o pianto  La pace di un momento È tutto ciò che siamo È tutto ciò che sento  E vedo te come l'immenso Come una lacrima su un foglio bianco Tra sesso e musica, ho immaginato te Che sei molto di più, qualcosa che non c'è  E senti...","I never would have thought of you as my accomplice Capable of understanding my every joy or sorrow  The peace of a moment Is all that we are Is all that I feel  And I see you as the immensity Like a tear on a white page Between sex and music, I thought of you That you are so much more, something tha...",145,Bb minor,,,,,,"thought, never, accomplice"
2009,Norway,Alexander Rybak,Fairytale,English,English,"Years ago, when I was younger I kinda liked a girl I knew She was mine and we were sweethearts That was then, but then it's true  I'm in love with a fairytale Even though it hurts 'Cause I don't care if I lose my mind I'm already cursed  Every day we started fighting Every night we fell in love No o...","Years ago, when I was younger I kinda liked a girl I knew She was mine and we were sweethearts That was then, but then it's true  I'm in love with a fairytale Even though it hurts 'Cause I don't care if I lose my mind I'm already cursed  Every day we started fighting Every night we fell in love No o...",108,D minor,,Mattias Carlsson,1,387,20,"love, every, years"
2009,Iceland,Yohanna,Is It True?,English,English,You say you really know me You're not afraid to show me What is in your eyes So tell me 'bout the rumours Are they only rumours? Are they only lies?  Falling out of a perfect dream Coming out of the blue  Is it true? (Is it true?) Is it over? Did I throw it away? Was it you? (Was it you?) Did you te...,You say you really know me You're not afraid to show me What is in your eyes So tell me 'bout the rumours Are they only rumours? Are they only lies?  Falling out of a perfect dream Coming out of the blue  Is it true? (Is it true?) Is it over? Did I throw it away? Was it you? (Was it you?) Did you te...,166,Eb major,,,2,218,7,"rumours, true, say"
2009,Azerbaijan,AySel & Arash,Always,English,English,"Always on my mind, always in my heart  I've been waiting for you night after night Like a shadow, staying close to the light Suddenly you stand beside me And I see a million burning stars  You are always on my mind, always in my heart And I can hear you call my name on a mountain high Always on my m...","Always on my mind, always in my heart  I've been waiting for you night after night Like a shadow, staying close to the light Suddenly you stand beside me And I see a million burning stars  You are always on my mind, always in my heart And I can hear you call my name on a mountain high Always on my m...",109,F# major,,,3,207,11,"always, mind, heart"
2009,Turkey,Hadise,Düm Tek Tek,English,English,"Baby, you're perfect for me You are my gift from heaven This is the greatest story Of all times  We met like in a movie So meant to last forever And what you're doing to me Feels so fine  Angel, I wake up And live my dreams endlessly Crazy for you  Can you feel the rhythm in my heart? The beat's goi...","Baby, you're perfect for me You are my gift from heaven This is the greatest story Of all times  We met like in a movie So meant to last forever And what you're doing to me Feels so fine  Angel, I wake up And live my dreams endlessly Crazy for you  Can you feel the rhythm in my heart? The beat's goi...",115,D minor,,,4,177,18,"youre, baby, perfect"
2009,United Kingdom,Jade Ewen,It's My Time,English,English,"I've been down, down so long But those days are gone now I've got the will, I've earned the right To show you it's my time tonight  It's my time, it's my time My moment, I'm not gonna let go of it My time, it's my time And I'll stand proud There's nothing I'm afraid of I'll show you what I'm made of...","I've been down, down so long But those days are gone now I've got the will, I've earned the right To show you it's my time tonight  It's my time, it's my time My moment, I'm not gonna let go of it My time, it's my time And I'll stand proud There's nothing I'm afraid of I'll show you what I'm made of...",98,A minor,,,5,173,23,"time, ive, show"
2009,Estonia,Urban Symphony,Rändajad,Estonian,Estonian,Kõrbekuumuses liiva Lendab kui jääkülma lund Öö peagi laotamas tiivad Rändajaid saatma jääb tuul  See on tee Nad rändavad nii päevast päeva See on tee Nad rändavad siis ajast aega See on tee Ta nähtamatu rajana kulgeb Nende ees Ta ootab kui riskida julged  Külmunud hingi vaid saadab Kuuvalgus varje ...,In the desert heat the sand Blows like ice-cold snow The night soon unfurls its wings Leaving nothing but the wind to escort the nomads  This is the way They wander from one day to the next This is the way They wander from one time to the next This is the way It weaves an invisible path Before them ...,124,F minor,,,6,129,15,"way, wander, one"
2009,Greece,Sakis Rouvas,This Is Our Night,English,English,"Take a chance, and take a hold Give it all and turn it to gold Time has come, so make a stand On your own and take command  Beat the odds, you will survive Stronger now, you feel alive Rising up, get into place Feel it in your heart when you are winning this race  When I look into your eyes It comes...","Take a chance, and take a hold Give it all and turn it to gold Time has come, so make a stand On your own and take command  Beat the odds, you will survive Stronger now, you feel alive Rising up, get into place Feel it in your heart when you are winning this race  When I look into your eyes It comes...",128,F# minor,,"Fokas Evangelinos, Nick Marianos",7,120,8,"take, feel, chance"
2009,France,Patricia Kaas,Et S'il Fallait Le Faire,French,French,"S'il fallait le faire, j'arrêterais la terre J'éteindrais la lumière, que tu restes endormi S'il fallait pour te plaire t'écouter chaque nuit Quand tu parles d'amour, j'en parlerais aussi  Que tu regardes encore dans le fond de mes yeux Que tu y vois encore le plus grand des grands feux Et que ta ma...","If it had to be done, I would stop the earth I would turn off the light so you stay asleep If it had to be done to please you, listening to you every night When you speak of love, I would speak of it too  So you still look into the depth of my eyes So you still see in there the greatest of great fir...",123,G minor,,,8,107,3,"done, speak, still"
2009,Bosnia and Herzegovina,Regina,Bistra Voda,Bosnian,Bosnian,"Pitao sam neke ljude U mome kraju gdje mi duša stanuje Jednu tajnu za mene Kažu, kriješ draga  Pitao sam da mi vrate Ono vrijeme, dane, sate Proljeće na ljubav miriše Tako kažu  Rodi me u majsku zoru Kupaj me u bistroj vodi Čuvam jedan svijet kad svi drugi odu Čuvam te dok sam živ  Ukradi malo sunca...","I asked some people In the neighbourhood, where my soul resides A secret from me They say you are hiding, dear  I asked that they return to me That time, the old hours, the spring That love is in the air They say  Give birth to me at dawn in May Bathe me in the clear water I guard one world, when al...",152,F# minor,,Boris Miljković,9,106,12,"asked, say, people"
2009,Armenia,Inga & Anush,Jan Jan,English & Armenian (English & Hayeren),English & Armenian (English & Hayeren),"How can I stay when you are away? What can I say if ya gonna tell me nothin'? How can I smile when you are alone? How can I be without me? Without me you cannot be  Can't ya see, we aren't free? Fixed like a tree to the holy ground With my sound, gotta be always around I wanna dance, don't ya stand,...","How can I stay when you are away? What can I say if ya gonna tell me nothin'? How can I smile when you are alone? How can I be without me? Without me you cannot be  Can't ya see, we aren't free? Fixed like a tree to the holy ground With my sound, gotta be always around I wanna dance, don't ya stand,...",115,E minor,,,10,92,9,"without, stay, away"
2009,Russia,Anastasia Prikhodko,Mamo,Russian & Ukrainian (Russkiy & Ukrayinska),Russian & Ukrainian (Russkiy & Ukrayinska),"Višel iz tenji vnov, moj vrag – maja ljubov Njejizbježna maja dolja, skoljka sertse nji gatov No, preždje čem ujti, kalječkom zalatim Abručil menja s saboju i at čar nje zašitil I na volju maju dušu nje pustil  Mamo, a ty zh menі kazala yak ne zhadai Mamo, a ya zh todі ne znala de zh ta bіda Mamo, a...","Out of the shadows once again, my enemy, my love Inevitable is my destiny, no matter how much you're prepared But before you left, with golden ring You engaged to me and didn't save me from sorcery And didn't let my soul be free  Mum, and you've been telling me not to desire Mum, and at that time I ...",130,D minor,,,11,91,10,"didnt, mum, shadows"
2009,Ukraine,Svetlana Loboda,Be my Valentine! (Anti,English,English,You are sexy – bom  You are so sexy – bom Gon' make me crazy – bom We're gonna do the bom bom Ain't that amazing – bom  I'm very busy – bom It's not so easy – bom I'm gonna tease you – bom bom Without a reason – bom  I'll call you on the phone You speak in monotone Don't wanna be alone Because I'm c...,You are sexy – bom  You are so sexy – bom Gon' make me crazy – bom We're gonna do the bom bom Ain't that amazing – bom  I'm very busy – bom It's not so easy – bom I'm gonna tease you – bom bom Without a reason – bom  I'll call you on the phone You speak in monotone Don't wanna be alone Because I'm c...,125,F# minor,,Alan Badoev,12,76,21,"bom, sexy, gonna"
2009,Denmark,Brinck,Believe Again,English,English,You made it so easy to fall I could not stand at all I saw you beside me You never saw me there at all  I promised you all this I made plans thinking this was it I never imagined I'd find you Lose myself instead  I never had a picture of an end  And I… I wanna believe in love I wanna believe in some...,You made it so easy to fall I could not stand at all I saw you beside me You never saw me there at all  I promised you all this I made plans thinking this was it I never imagined I'd find you Lose myself instead  I never had a picture of an end  And I… I wanna believe in love I wanna believe in some...,120,G major,,Vicky Leander,13,74,16,"never, made, saw"
2009,Moldova,Nelly Ciobanu,Hora Din Moldova,Romanian & English,Romanian & English,"Ye ye… le la te nane Ye ye ye ye… le la te na Ooh… oh… oh…  (Ra! Ra!)  All the mountains, all the seas All the winds are dancing hora It's a dance you've never seen From my country called Moldova  Şai lalai la… şi zborul Şai lalai la… duce dorul Dans de foc al iubirii joc E hora din Moldova (Ru!)  C...","Ye ye… le la te nane Ye ye ye ye… le la te na Ooh… oh… oh…  (Ra! Ra!)  All the mountains, all the seas All the winds are dancing hora It's a dance you've never seen From my country called Moldova  Shai lalai la… and the flight Shai lalai la… brings sorrow The dance of fire, the game of love Is the d...",90,C# minor,,,14,69,13,"ye…, oh…, dance"
2009,Portugal,Flor,de,Portuguese,Portuguese,"Se sou tinta, tu és tela Se sou chuva, és aguarela Se sou sal, és branca areia Se sou mar, és maré-cheia  Se sou céu, és nuvem nele Se sou estrela, és de encantar Se sou noite, és luz para ela Se sou dia, és o luar  Sou a voz do coração Numa carta aberta ao mundo Sou o espelho d'emoção Do teu olhar ...","If I were paint, you'd be a canvas If I were rain, you'd be a watercolour If I were salt, you'd be white sand If I were the sea, you'd be high tide  If I were the sky, you'd be a cloud in it If I were a star, you'd be enchanting If I were night, you'd be its light If I were day, you'd be the moonlig...",95,G major,,,15,57,6,"youd, paint, canvas"
2009,Israel,Noa & Mira Awad,There Must Be Another Way,"English, Hebrew & Arabic (Latin letters)",English,"There must be another Must be another way  Einaich, achot Kol ma shelibi mevakesh omrot Avarnu ad ko Derech aruka, derech ko kasha yad beyad  Vehadma'ot zolgot, zormot lashav Ke'ev lelo shem Anachnu mechakot Rak layom sheyavo achrei  There must be another way There must be another way  Aynaki bit'ul...","There must be another Must be another way  Einaich, achot Kol ma shelibi mevakesh omrot Avarnu ad ko Derech aruka, derech ko kasha yad beyad  Vehadma'ot zolgot, zormot lashav Ke'ev lelo shem Anachnu mechakot Rak layom sheyavo achrei  There must be another way There must be another way  Aynaki bit'ul...",106,Ab major,,,16,53,2,"must, another, way"
2009,Albania,Kejsi Tola,Carry Me In Your Dreams,English,English,"My love for you grows with each passing day I'm by your side when you're away And when I miss you and long for your care I close my eyes and you're there  All that I ask is one moment in time No strings attached, no drawing lines You feel my thoughts even when you're not here I close my eyes Close m...","My love for you grows with each passing day I'm by your side when you're away And when I miss you and long for your care I close my eyes and you're there  All that I ask is one moment in time No strings attached, no drawing lines You feel my thoughts even when you're not here I close my eyes Close m...",128,Eb minor,,Julian Bulku,17,48,19,"youre, close, eyes"
2009,Croatia,Igor Cukrov feat. Andrea,Lijepa Tena,Croatian,Croatian,"Bio sam oblak, lebdio Ni sunca nisam vidio Tebe čekao  Bog te je meni poslao Od srca otkinuo svog, da bi živio I čekao da ti meni daš čudo ljubavi  Hej draga, hej draga Suze u pamuk pretvaraš Umorne oči odmaraš Začaraš  Hej lijepa, hej sveta Vodu u vino pretvaraš Ti se moliš za sve nas, za sve nas  ...","I was a cloud, floating And I haven't seen the sun I was waiting for you  God has sent you to me Detached you from his heart, so I could live And waited for you to give me the miracle of love  Hey darling, hey darling You're turning tears into cotton You're a sight for sore eyes You enchant  Hey bea...",116,A major,,,18,45,5,"hey, darling, youre"
2009,Romania,Elena,The Balkan Girls,English,English,"The Balkan girls, they like to party Like nobody, like nobody  It's time for me to unwind I'm gonna start my weekend with gin, tonic and lime My girls take me for a ride Ready to party and looking so fine  I wonder if beyond this There could be something better 'Cause I feel so good tonight Don't wa...","The Balkan girls, they like to party Like nobody, like nobody  It's time for me to unwind I'm gonna start my weekend with gin, tonic and lime My girls take me for a ride Ready to party and looking so fine  I wonder if beyond this There could be something better 'Cause I feel so good tonight Don't wa...",130,F major,,Oana Draghici,19,40,22,"like, girls, party"
2009,Germany,Alex Swings Oscar Sings!,Miss Kiss Kiss Bang,English,English,"Hey Miss Kiss, let us dance  Mrs Kiss Kiss Bang, she's not a fool Extraordinary and oh so cool When I feel the touch of her sweet lips I know this is a devil's kiss  She sets my soul on fire with no return Ooh baby, just burn, burn, burn And I think we're like Mr and Mrs Right So I'll give you my he...","Hey Miss Kiss, let us dance  Mrs Kiss Kiss Bang, she's not a fool Extraordinary and oh so cool When I feel the touch of her sweet lips I know this is a devil's kiss  She sets my soul on fire with no return Ooh baby, just burn, burn, burn And I think we're like Mr and Mrs Right So I'll give you my he...",136,Bb minor,,,20,35,17,"kiss, burn, mrs"
2009,Sweden,Malena Ernman,La Voix,French & English,French & English,"Can you keep a secret? Can you keep a secret? I'm in love with you Can you make a promise? Can you make a promise? Stay forever true, oh… Then I'm forever yours  Je t'aime, amour, quand j'entends la voix Je t'aime, ma vie, c'est jamais sans toi J'vis ma vie pour toi, c'est l'univers pour moi Je t'ai...","Can you keep a secret? Can you keep a secret? I'm in love with you Can you make a promise? Can you make a promise? Stay forever true, oh… Then I'm forever yours  I love you, my love, when I hear the voice I love you, my life is never without you I live my life for you, it's the universe for me I lov...",128,Bb major,,,21,33,4,"love, keep, secret"
2009,Malta,Chiara,What If We,English,English,"Words of wisdom, prophets and quotes Wise men talking, tales from the old I reach for the stars, wherever they are, in darkness We're lost, fading away  What if we could be free? Mystify our wisdom in time And one day we'll see What if we found the key? Throw the dice, unravel our lies And learn how...","Words of wisdom, prophets and quotes Wise men talking, tales from the old I reach for the stars, wherever they are, in darkness We're lost, fading away  What if we could be free? Mystify our wisdom in time And one day we'll see What if we found the key? Throw the dice, unravel our lies And learn how...",124,F# major,,,22,31,14,"wisdom, words, prophets"
2009,Lithuania,Sasha Son,Love,English,English,"I've had it all, as a little child I've done it all, as a little child But the pain that I had For the fame that I got, was for what?  A little girl is crying alone A little boy, searching for his home Giving up to a sin for a heart-craving dream Is that a sin?  If you really love the love you say y...","I've had it all, as a little child I've done it all, as a little child But the pain that I had For the fame that I got, was for what?  A little girl is crying alone A little boy, searching for his home Giving up to a sin for a heart-craving dream Is that a sin?  If you really love the love you say y...",103,A minor,,,23,23,1,"little, ive, child"
2009,Spain,Soraya,La Noche Es Para Mí,Spanish & English,Spanish & English,"Vuelvo a mirar, tus ojos son un volcán No escaparás, tu fuego dirá la verdad No importa si quieres o no, porque hoy mando yo  Come on and take me, come on and shake me Quiero saber lo que sientes por mí Come on and take me, come on and shake me ¿Que no lo ves que estoy loca por ti? Come set me free,...","I look again, your eyes are like a volcano You won't escape, your fire will tell the truth It doesn't matter if you want or not, because today I command  Come on and take me, come on and shake me  I want to know what you feel about me Come on and take me, come on and shake me  Can't you see I'm craz...",126,F# minor,,Maite Marcos,24,23,25,"come, want, take"
2009,Finland,Waldo's People,Lose Control,English,English,"I don't wanna lose control, but I'm falling, falling down  I got this panic emotion that I cannot describe to you My world is tumbling down, what am I, what am I gonna do? Ca-can't deny it, deny it, what am I going through? Ca-can not fight it, can't fight it, now I'm looking for the truth  I don't ...","I don't wanna lose control, but I'm falling, falling down  I got this panic emotion that I cannot describe to you My world is tumbling down, what am I, what am I gonna do? Ca-can't deny it, deny it, what am I going through? Ca-can not fight it, can't fight it, now I'm looking for the truth  I don't ...",138,A major,,,25,22,24,"dont, falling, deny"
2009,Serbia,Marko Kon & Milaan,Cipela,Serbian (Srpski),Serbian (Srpski),"Moјa stara cipela, pola sveta videla Gde god da stanem tu mi dom Tamo pa 'vamo, istok pa zapad Ma gde god stigao bio sam na svom  Hvata me panika, ta stara navika Srce bi krenulo za njom A јa budala, stara baraba Ma sve nek propadne, teraću po svom  Niјe, niјe, niјe me htela Sve dok pare ne skupim M...","My old shoe has seen half the world Wherever I treaded was my home Here and there, East and West Wherever I came, I felt at my place  I'm starting to panic, this old habit My heart would follow her Yet I'm a fool, an old raff Let everything perish, I'll stick to my path  She didn't, didn't, didn't w...",140,F minor,,Mojca Horvat,,,,"old, didnt, wherever"
2009,Ireland,Sinéad Mulvey & Black Daisy,Et Cetera,English,English,"This time you've really gone too far So sick of hearing stories About the new girl hanging round You're supposed to be with me  And when I heard the rumour You kissed her at a party Like a jealous fool I ran to you You were still mine  That's just the way my life goes Still love me, even she knows Y...","This time you've really gone too far So sick of hearing stories About the new girl hanging round You're supposed to be with me  And when I heard the rumour You kissed her at a party Like a jealous fool I ran to you You were still mine  That's just the way my life goes Still love me, even she knows Y...",172,F major,,,,,,"still, time, youve"
2009,North Macedonia,Next Time,Neshto Shto Ke Ostane,Macedonian (Makedonski),Macedonian (Makedonski),"Je je… no ti si od Boga Najmilo nešto što kje ostane  Da ne si ti, bi nemal za kogo ljubovna pesna da napišam Da ne si ti, bi nemal so što pred lugjeto da se pofalam Da ne si ti, ni usnive nasmevka nema da gi pokrie Ako tvojot glas ne me razbudi, cel den tažen mene mi e  Je je… ovie oči i denje i no...","Yeah yeah… but you are God-given The dearest thing that will remain  If it weren't for you, I'd have no one to write a love song to If it weren't for you, I'd have nothing to brag about to people If it weren't for you, not a smile would cover my lips If your voice doesn't wake me up, my whole day is...",,,,,,,,"werent, yeah, yeah…"
